"change_id","ccfinder","cloneworks_type1","cloneworks_type2blind","cloneworks_type3pattern","cloneworks_type3token","conqat","deckard","duplo","iclones","nicad5","simcad","simian"
"42826",,,,"42760, 42763, 42767, 42782, 42783, 42808, 42813, 42815, 42816, 42818",,,"42782, 42818, 42825, 42832",,,,,
"42831",,,,,,,"42832",,,,,
"42832",,,,"42831","42831",,"42826",,,,"42831",
"42862",,"42868","42868","42863, 42868, 42871, 42876, 42880, 42881, 42882, 42902",,,"42868",,,,,
"42863",,"42868","42868","42862, 42868, 42871, 42876, 42880, 42881, 42882, 42902","42868",,,,,,,
"42868",,"42862, 42863","42862, 42863","42862, 42863, 42871, 42876, 42880, 42881, 42882, 42902","42863",,"42862, 42894, 42895, 42903, 42910",,,,,
"42871",,,,"42862, 42863, 42868, 42876, 42880, 42881, 42882, 42902",,,,,,,,
"42876",,,,"42862, 42863, 42868, 42871, 42880, 42881, 42882, 42902",,,,,,,,
"42877",,,,"42879","42879",,,,"42879",,,"42879"
"42878",,,,"42879","42879",,,,"42879",,,"42879"
"42879",,,,"42877, 42878","42877, 42878",,,,"42877, 42878",,,"42877, 42878"
"42880",,,,"42862, 42863, 42868, 42871, 42876, 42881, 42882, 42902","42881, 42882",,,,,,,
"42881",,,,"42862, 42863, 42868, 42871, 42876, 42880, 42902","42880",,,,,,,
"42882",,,,"42862, 42863, 42868, 42871, 42876, 42880, 42902","42880",,,,,,,
"42894",,,,,,,"42868, 42895",,,,,
"42895",,,,,,,"42868, 42894",,,,,
"42896","42897",,"42897","42897",,,,,,"42897",,
"42897","42896",,"42896","42896",,,,,,"42896",,
"42902",,,,"42862, 42863, 42868, 42871, 42876, 42880, 42881, 42882",,,,,,,,
"42903",,,,,,,"42868",,,,,
"42910",,,,,,,"42868",,,,,
"42923",,,,"42928, 42931, 42949, 42955, 42956, 42960, 42961, 42968",,,,,,,,
"42924",,,,,"42926",,,,,,,
"42926",,,,,"42924",,,,,,,
"42928",,,,"42923, 42931, 42949, 42955, 42956, 42960, 42961, 42968",,,,,,,,
"42930",,,,,,,"42937",,,,,
"42931",,,,"42923, 42928, 42949, 42955, 42956, 42960, 42961, 42968",,,"42953",,,,,
"42937",,,,,,,"42930, 42943",,,,,
"42938",,,,,,,"42960, 42961",,,,,
"42940",,,,,,,"42941, 42944, 42945",,,,,
"42941",,,,,,,"42940, 42944, 42945",,,,,
"42943",,,,,,,"42937",,,,,
"42944",,,,,,,"42940, 42941, 42964",,,,,
"42945",,,,,,,"42940, 42941, 42964",,,,,
"42949",,,,"42923, 42928, 42931, 42955, 42956, 42960, 42961, 42968",,,,,,,,
"42953",,,,,,,"42931, 42971, 42972",,,,,
"42955",,,,"42923, 42928, 42931, 42949, 42960, 42961, 42968",,,,,,,,
"42956",,,,"42923, 42928, 42931, 42949, 42960, 42961, 42968",,,,,,,,
"42960",,,,"42923, 42928, 42931, 42949, 42955, 42956, 42968",,,"42938, 42975",,,,,
"42961",,,,"42923, 42928, 42931, 42949, 42955, 42956, 42960, 42968",,,"42938, 42975",,,,,
"42962",,,,,,,"42971, 42972",,,,,
"42963",,,,,,,"42971, 42972",,,,,
"42964",,,,,,,"42944, 42945",,,,,
"42968",,,,"42923, 42928, 42931, 42949, 42955, 42956, 42960, 42961",,,,,,,,
"42971",,,"42972","42972",,,"42953, 42962, 42963",,,,,
"42972",,,"42971","42971",,,"42953, 42962, 42963",,,,,
"42975",,,,,,,"42960, 42961",,,,,
"42981",,,,,,,"42992, 42993, 42994, 42995",,,,,
"42982",,,,"42983, 42984, 42986, 42993, 42995",,,,,,,,
"42983",,,"42984","42982, 42984, 42986, 42993, 42995",,,,,,,,
"42984",,,"42983","42982, 42983, 42986, 42993, 42995",,,,,,,,
"42986",,,,"42982, 42983, 42984, 42993, 42995",,,,,,,,
"42992",,,,,,,"42981",,,,,
"42993",,,,"42982, 42983, 42984, 42986, 42995",,,"42981",,,,,
"42994",,,,,,,"42981",,,,,
